OTTname,fg,originalname,class,phylum,OTTnamesingleton,OTTname,originalname,ott
Amphinomidae,1,Amphinomidae,Polychaeta,Annelida,Amphinomidae,Amphinomidae,Amphinomidae,884677
Bonelliidae,1,Bonelliida,Polychaeta,Annelida,Bonelliidae,Bonelliidae,Bonelliidae,745874
Cirratulidae,1,Cirratulidae,Polychaeta,Annelida,Cirratulidae,Cirratulidae,Cirratulidae,1067346
Clitellata,1,Oligochaeta,Polychaeta,Annelida,Clitellata,Clitellata,Oligochaeta,563197
Hesionidae,1,Hesionidae,Polychaeta,Annelida,Hesionidae,Hesionidae,Hesionidae,151154
Lysidice,1,Eunicidae,Polychaeta,Annelida,Lysidice,Lysidice,Eunicidae,438827
Nereididae,1,Nereididae,Polychaeta,Annelida,Nereididae,Nereididae,Nereididae,741326
Phyllodocidae,1,Phyllodocidae,Polychaeta,Annelida,Phyllodocidae,Phyllodocidae,Phyllodocidae,890240
Polynoidae,1,Polynoidae,Polychaeta,Annelida,Polynoidae,Polynoidae,Polynoidae,1067347
Synsyllis,1,Polychaeta,Polychaeta,Annelida,Synsyllis,Synsyllis,Polychaeta,4983148
Terebella,1,Terebellida,Polychaeta,Annelida,Terebella,Terebella,Terebellida,1025634
Typosyllis,1,Syllidae,Polychaeta,Annelida,Typosyllis,Typosyllis,Syllidae,839640
Alpheidae,9,Alpheidae,Malacostraca,Arthropoda (Crustacea),Alpheidae,Alpheidae,Alpheidae,471793
Anthuridae,7,Anthuridae,Malacostraca,Arthropoda (Crustacea),Anthuridae,Anthuridae,Anthuridae,755799
Caprellidae,7,Caprellidae,Malacostraca,Arthropoda (Crustacea),Caprellidae,Caprellidae,Caprellidae,152663
Cumacea,7,Cumacea,Malacostraca,Arthropoda (Crustacea),Cumacea,Cumacea,Cumacea,619740
Dendrobranchiata,7,Penaeidae,Malacostraca,Arthropoda (Crustacea),Dendrobranchiata,Dendrobranchiata,Penaeidae,212710
Diogenes,10,Diogenidae,Malacostraca,Arthropoda (Crustacea),Diogenes_(genus_in_Opisthokonta),Diogenes,Diogenidae,5089719
Dromiinae,7,Dromiidae,Malacostraca,Arthropoda (Crustacea),Dromiinae,Dromiinae,Dromiidae,5799343
Galathea,7,Galatheidae,Malacostraca,Arthropoda (Crustacea),Galathea,Galathea,Galatheidae,331357
Gammaridea,7,Amphipoda,Malacostraca,Arthropoda (Crustacea),Gammaridea,Gammaridea,Amphipoda,941215
Gonodactylidae,8,Gonodactylidae,Malacostraca,Arthropoda (Crustacea),Gonodactylidae,Gonodactylidae,Gonodactylidae,42630
Haploniscidae,7,Asellota,Malacostraca,Arthropoda (Crustacea),Haploniscidae,Haploniscidae,Asellota,301631
Hippolyte,7,Hippolytidae,Malacostraca,Arthropoda (Crustacea),Hippolytidae,Hippolytidae,Hippolytidae,566119
Hypoconchinae,7,Brachyura,Malacostraca,Arthropoda (Crustacea),Hypoconchinae,Hypoconchinae,Brachyura,5799344
Janiridae,7,Isopoda,Malacostraca,Arthropoda (Crustacea),Janiridae,Janiridae,Isopoda,332917
Joeropsididae,7,Joeropsididae,Malacostraca,Arthropoda (Crustacea),Joeropsididae,Joeropsididae,Joeropsididae,3001647
Lysiosquilloidea,8,Stomatopoda,Malacostraca,Arthropoda (Crustacea),Lysiosquilloidea,Lysiosquilloidea,Stomatopoda,325221
Majidae,7,Majidae,Malacostraca,Arthropoda (Crustacea),Micippa,Micippa,Majidae,7117261
Mysida,7,Mysida,Malacostraca,Arthropoda (Crustacea),Mysida,Mysida,Mysida,42634
Ostracoda,7,Ostracoda,Ostracoda,Arthropoda (Crustacea),Ostracoda,Ostracoda,Ostracoda,580068
Paguridae,10,Paguridae,Malacostraca,Arthropoda (Crustacea),Paguristes_turgidus,Paguristes_turgidus,Paguridae,340328
Palaemonoidea,7,Palaemonidae,Malacostraca,Arthropoda (Crustacea),Palaemonoidea,Palaemonoidea,Palaemonidae ,83264
Paranthuridae,7,Paranthuridae,Malacostraca,Arthropoda (Crustacea),Paranthuridae,Paranthuridae,Paranthuridae,97964
Paratanaidae,8,Paratanaidae,Malacostraca,Arthropoda (Crustacea),Paratanaidae,Paratanaidae,Paratanaidae,1026716
Pilumnidae,8,Pilumnidae ,Malacostraca,Arthropoda (Crustacea),Pilumnidae,Pilumnidae,Pilumnidae,284330
Porcellanidae,7,Porcellanidae,Malacostraca,Arthropoda (Crustacea),Porcellanidae,Porcellanidae,Porcellanidae,211908
Portunidae,8,Portunidae,Malacostraca,Arthropoda (Crustacea),Portunidae,Portunidae,Portunidae,706441
Pycnogonida,8,Pycnogonida,Pynogonida ,Arthropoda (Crustacea),Pycnogonida,Pycnogonida,Pycnogonida,910210
Stenetriidae,7,Stenetriidae ,Malacostraca,Arthropoda (Crustacea),Stenetriidae,Stenetriidae,Stenetriidae,351827
Tanaididae,8,Tanaidacea,Malacostraca,Arthropoda (Crustacea),Tanaididae,Tanaididae,Tanaidacea,472133
Tetraliidae,9,Tetraliidae ,Malacostraca,Arthropoda (Crustacea),Tetraliidae,Tetraliidae,Tetraliidae,440328
Epialtidae,7,Epialtidae,Malacostraca,Arthropoda (Crustacea),Tiarinia,Tiarinia,Epialtidae,534671
Trapeziidae,9,Trapeziidae,Malacostraca,Arthropoda (Crustacea),Trapeziidae,Trapeziidae,Trapeziidae,211910
Xanthidae,7,Xanthidae,Malacostraca,Arthropoda (Crustacea),Xanthidae,Xanthidae,Xanthidae,7696074
